RegionID,SizeRank,RegionName,RegionType,StateName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
102001,0,United States,Country,,128825.0,129167.0,129524.0,130253.0,130986.0,131715.0,132456.0,133245.0,134052.0,134865.0,135690.0,136534.0,137326.0,138047.0,138776.0,139548.0,140348.0,141135.0,141927.0,142743.0,143550.0,144361.0,145105.0,145817.0,146468.0,147148.0,147865.0,148619.0,149423.0,150271.0,151189.0,152146.0,153091.0,154043.0,154941.0,155836.0,156652.0,157483.0,158332.0,159251.0,160239.0,161229.0,162264.0,163360.0,164521.0,165683.0,166727.0,167724.0,168712.0,169853.0,171129.0,172520.0,174057.0,175688.0,177431.0,179139.0,180801.0,182381.0,183866.0,185371.0,186851.0,188396.0,189995.0,191828.0,193739.0,195739.0,197711.0,199694.0,201608.0,203391.0,204994.0,206432.0,207644.0,208818.0,210042.0,211364.0,212629.0,213703.0,214506.0,215127.0,215493.0,215776.0,215886.0,215967.0,215985.0,216038.0,216085.0,216148.0,216046.0,215757.0,215212.0,214633.0,213915.0,213162.0,212204.0,211227.0,210050.0,208776.0,207348.0,205859.0,204348.0,202745.0,201015.0,199033.0,197099.0,195242.0,193406.0,191572.0,189775.0,188371.0,187056.0,185839.0,184579.0,183425.0,182392.0,181396.0,180473.0,179755.0,179432.0,179299.0,179235.0,179136.0,179161.0,179345.0,179440.0,179258.0,178574.0,177651.0,176550.0,175477.0,174377.0,173370.0,172418.0,171557.0,170749.0,169903.0,169036.0,168206.0,167560.0,166992.0,166499.0,165971.0,165526.0,165125.0,164897.0,164792.0,164965.0,165297.0,165783.0,166243.0,166711.0,167152.0,167636.0,168202.0,168896.0,169673.0,170617.0,171675.0,172891.0,174124.0,175438.0,176779.0,178120.0,179356.0,180531.0,181665.0,182722.0,183736.0,184735.0,185770.0,186631.0,187351.0,188010.0,188686.0,189274.0,189680.0,190056.0,190536.0,191176.0,191899.0,192626.0,193436.0,194335.0,195282.0,196221.0,197034.0,197745.0,198423.0,199144.0,199900.0,200628.0,201491.0,202447.0,203496.0,204421.0,205426.0,206401.0,207385.0,208269.0,209112.0,209994.0,210942.0,212008.0,213111.0,214217.0,215355.0,216532.0,217794.0,218995.0,220148.0,221149.0,222154.0,223250.0,224459.0,225731.0,227037.0,228336.0,229707.0,231039.0,232368.0,233599.0,234724.0,235766.0,236755.0,237745.0,238724.0,239710.0,240724.0,241776.0,242756.0,243597.0,244322.0,244995.0,245625.0,246204.0,246792.0,247457.0,248202.0,248958.0,249804.0,250805.0,251965.0,253268.0,254505.0,255386.0,256133.0,257283.0,259244.0,261805.0,264683.0,267789.0,270919.0,274267.0,277741.0,281522.0,285487.0,290292.0,295919.0,301910.0,307411.0,312125.0,316298.0,320246.0,324667.0,329443.0,334701.0,339960.0,345488.0,350481.0,354649.0
394913,1,"New York, NY",Msa,NY,229297.0,230667.0,231894.0,234311.0,236545.0,238924.0,241424.0,244023.0,246630.0,249202.0,251659.0,253954.0,256157.0,258583.0,260951.0,263432.0,265788.0,268344.0,270833.0,273530.0,276270.0,279293.0,282074.0,284753.0,287455.0,290131.0,292752.0,295301.0,297967.0,300984.0,304243.0,308255.0,312476.0,316693.0,320462.0,324281.0,328125.0,332034.0,336195.0,340056.0,343979.0,347691.0,351591.0,355388.0,358899.0,362197.0,365275.0,368262.0,371639.0,374996.0,378587.0,382017.0,386105.0,390487.0,395315.0,400128.0,405061.0,409967.0,414581.0,418809.0,422787.0,426739.0,430818.0,435762.0,441036.0,446253.0,451013.0,455798.0,460701.0,465666.0,470010.0,474263.0,477907.0,481758.0,484872.0,487752.0,490135.0,492406.0,493857.0,494377.0,493934.0,492652.0,490888.0,488836.0,487045.0,485794.0,485839.0,485519.0,485226.0,483609.0,481725.0,479842.0,477691.0,476332.0,474711.0,473198.0,471775.0,470156.0,468020.0,465694.0,462265.0,459133.0,455614.0,452536.0,449191.0,445506.0,441698.0,438245.0,434532.0,430997.0,427489.0,424251.0,421608.0,418906.0,416385.0,413613.0,411559.0,409991.0,409097.0,408596.0,408517.0,408810.0,408649.0,408593.0,408254.0,408742.0,409028.0,409035.0,408152.0,406496.0,404549.0,402331.0,400914.0,399709.0,398962.0,397647.0,396338.0,394508.0,392789.0,390872.0,389024.0,387146.0,385143.0,383399.0,381810.0,380397.0,379322.0,378558.0,378321.0,378307.0,378161.0,377756.0,377267.0,376790.0,376815.0,377119.0,377635.0,378444.0,379441.0,381137.0,383097.0,384993.0,386704.0,388048.0,389517.0,391154.0,392922.0,394439.0,396247.0,397820.0,399599.0,401080.0,402606.0,403942.0,404761.0,405263.0,405653.0,405989.0,406324.0,406870.0,407427.0,408313.0,408934.0,410086.0,411087.0,412234.0,412857.0,413136.0,413483.0,413897.0,415071.0,415917.0,416657.0,417290.0,418456.0,420148.0,421741.0,422954.0,423902.0,424753.0,425747.0,426930.0,428285.0,429697.0,431607.0,433282.0,435479.0,437252.0,439928.0,442226.0,444580.0,446502.0,448265.0,449919.0,451476.0,453132.0,455274.0,457847.0,460822.0,463932.0,466426.0,468199.0,468918.0,469627.0,470753.0,472483.0,474293.0,475925.0,476968.0,477926.0,478822.0,479900.0,480603.0,480835.0,480761.0,480588.0,480266.0,479906.0,479698.0,480300.0,481361.0,482924.0,484521.0,486232.0,487271.0,487977.0,489466.0,492400.0,497532.0,503565.0,510244.0,516592.0,522024.0,527363.0,532361.0,537727.0,543911.0,551792.0,560400.0,568521.0,574782.0,579653.0,583474.0,586974.0,591211.0,596132.0,602845.0,610233.0,617999.0,624186.0
394705,33,"Indianapolis, IN",Msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128047.0,128103.0,128257.0,128226.0,128611.0,129077.0,129726.0,129793.0,129820.0,129911.0,130258.0,130550.0,130851.0,131024.0,131336.0,131502.0,132087.0,132583.0,133264.0,134214.0,135256.0,136416.0,137096.0,137630.0,138075.0,138361.0,138667.0,138681.0,139019.0,139371.0,139893.0,139827.0,139738.0,139548.0,139745.0,139861.0,140158.0,140295.0,140545.0,140674.0,141118.0,141545.0,142177.0,142274.0,142401.0,142326.0,142569.0,142398.0,142262.0,141943.0,141764.0,141302.0,141122.0,141500.0,142173.0,142439.0,142283.0,141949.0,141793.0,141694.0,141798.0,141594.0,141197.0,140493.0,140028.0,139395.0,138587.0,137943.0,137424.0,137339.0,137262.0,137416.0,137601.0,137645.0,137607.0,137598.0,137450.0,137539.0,137716.0,137870.0,138264.0,138571.0,139032.0,139039.0,139034.0,138489.0,137745.0,136369.0,135437.0,134433.0,133939.0,133434.0,133012.0,132660.0,132309.0,131674.0,131035.0,130692.0,130917.0,131181.0,131144.0,130715.0,130234.0,129657.0,129547.0,129921.0,130732.0,131569.0,131918.0,132001.0,131794.0,131543.0,131521.0,130993.0,130759.0,130466.0,130947.0,131421.0,132549.0,133488.0,134291.0,134600.0,135067.0,135613.0,136049.0,136590.0,137283.0,138265.0,139446.0,140774.0,141860.0,142534.0,142960.0,143344.0,143619.0,143704.0,143759.0,144020.0,144292.0,144268.0,144225.0,144156.0,144632.0,145073.0,145578.0,145690.0,145773.0,146053.0,146332.0,146872.0,147354.0,148022.0,148509.0,148635.0,148816.0,149239.0,150397.0,151890.0,153374.0,154598.0,155365.0,155710.0,155771.0,155832.0,156358.0,157386.0,158811.0,160231.0,161408.0,162216.0,163089.0,163711.0,164746.0,165698.0,166617.0,167237.0,167835.0,169060.0,170569.0,171998.0,173409.0,174858.0,176250.0,177254.0,177922.0,178988.0,180466.0,182160.0,182934.0,183285.0,183268.0,183978.0,184501.0,185139.0,185639.0,186770.0,187867.0,188972.0,189651.0,190683.0,191915.0,193153.0,194188.0,195044.0,196092.0,197802.0,199851.0,202245.0,204445.0,206967.0,209723.0,212543.0,215641.0,218772.0,221572.0,224522.0,227732.0,231547.0,234910.0,238170.0,241797.0,246071.0,250598.0,255361.0,260087.0,263656.0,267344.0,270466.0,273964.0
